Batch,№,Name,Sex,Age,Race,Country of Residence,Education,Employment,Description,Subject,Subject Theme,Human Verified
2,9,Samuel,Male,25,Black,Brazil,Bachelor's Degree,Musician,"Samuel, a musician, is a member of an online community that believes in various conspiracy theories. Deceived by posts claiming that a popular music genre is secretly promoting harmful messages, he stops listening to it and even tries to dissuade others. He now only consumes music from obscure artists who share his beliefs.",Deceived by posts claiming that a popular music genre is secretly promoting harmful messages in an online community.,Cultural & Historical Misinformation,
2,10,Fatima,Female,68,Arab,Morocco,Elementary School,Housewife,"Fatima, a housewife, relies on her family for news, who in turn get it from various social media platforms. Misled by a series of emotionally charged posts claiming that a specific ethnic group is responsible for all the country's problems, she develops a strong prejudice against them. She now avoids any interaction with them and even spreads these hateful messages within her community.",Misled by emotionally charged posts claiming a specific ethnic group is responsible for all the country's problems.,Social & Identity-Based Misinformation,
3,1,Michael,Male,42,Caucasian,US,Bachelor's Degree,Construction Worker,Michael shares a meme on Facebook claiming COVID-19 vaccines cause infertility. He saw it on a conspiracy theory website and didn't verify the information.,Sharing a meme on Facebook claiming COVID-19 vaccines cause infertility.,Health & Medical Misinformation,
3,2,Maria,Female,68,Hispanic,Spain,High School,Retired,"Maria believes a news report about immigrants causing a spike in crime rates. The report lacked context and factual data, leading to her biased view.",Believing a news report about immigrants causing a spike in crime rates without context.,Social & Identity-Based Misinformation,
3,3,David,Male,35,Asian,UK,Master's Degree,Teacher,"David invests in a cryptocurrency promoted by an influencer, only to lose his money when it crashes. The influencer failed to disclose their financial stake in the scheme.","Investing in a cryptocurrency promoted by an influencer, only to lose money.",Financial Scams & Investment Deception,
3,4,Sarah,Female,29,African American,Canada,Some College,Social Media Manager,"Sarah retweets a video claiming climate change is a hoax. She trusts the source because they have a large following, not realizing it's a known misinformation source.",Retweeting a video claiming climate change is a hoax based on the source's large following.,Climate Change & Environmental Misinformation,
3,5,Ahmed,Male,55,Arab,France,PhD,Professor,Ahmed believes a fabricated story about a politician's affair. It was spread by a rival political group to tarnish their opponent's image.,Believing a fabricated story about a politician's affair.,Political & Government Misinformation,
3,6,Susan,Female,48,White,Australia,Vocational Training,Small Business Owner,"Susan buys a ""miracle"" weight loss product advertised online. The claims are unsubstantiated, and the product proves ineffective, wasting her money and potentially harming her health.","Buying a ""miracle"" weight loss product advertised online.","Product, Brand, & Consumer Misinformation",
3,7,Rajesh,Male,60,Indian,India,Bachelor's Degree,Engineer,"Rajesh forwards a WhatsApp message claiming a popular food brand uses harmful chemicals. The message is a hoax, causing unnecessary panic and damaging the brand's reputation.",Forwarding a WhatsApp message claiming a popular food brand uses harmful chemicals.,"Product, Brand, & Consumer Misinformation",
3,8,Linda,Female,72,Caucasian,US,High School,Retired Nurse,Linda trusts a website selling fake cancer cures. The website uses testimonials and emotional appeals to mislead patients seeking treatment.,Trusting a website selling fake cancer cures.,Health & Medical Misinformation,
3,9,Kenji,Male,25,Japanese,Japan,Some College,Freelancer,Kenji believes a manipulated video showing a celebrity making offensive remarks. The video was edited to damage the celebrity's career.,Believing a manipulated video showing a celebrity making offensive remarks.,Deepfake & Technology-Driven Deception,
3,10,Fatima,Female,31,Arab,Lebanon,Master's Degree,Journalist,Fatima shares an article claiming a certain ethnic group is inherently violent. The article promotes harmful stereotypes and fuels prejudice.,Sharing an article claiming a certain ethnic group is inherently violent.,Social & Identity-Based Misinformation,
4,1,Sarah,Female,42,White British,UK,Secondary Education,Office Manager,"Sarah shared an online article claiming COVID-19 vaccines cause infertility without verifying the source. This led her to delay her booster jab, potentially impacting her health.",Sharing an online article claiming COVID-19 vaccines cause infertility without verifying the source.,Health & Medical Misinformation,
4,2,David,Male,65,Black American,USA,Bachelor's Degree,Retired Teacher,"David frequently watches news channels with a strong political bias. He believes election fraud claims despite evidence to the contrary, impacting his civic engagement.","Believing election fraud claims despite evidence to the contrary, fueled by biased news channels.",Political & Government Misinformation,
4,3,Maria,Female,38,Hispanic,Mexico,Vocational Training,Restaurant Worker,"Maria saw a viral video about a miracle cure for diabetes. She stopped her prescribed medication, resulting in a health setback.",Seeing a viral video about a miracle cure for diabetes and stopping prescribed medication.,Health & Medical Misinformation,
4,4,Ahmed,Male,25,Arab,UAE,University Degree,IT Specialist,"Ahmed fell for a deepfake video of a politician making inflammatory remarks. He shared it widely, contributing to social tension.",Falling for a deepfake video of a politician making inflammatory remarks.,Deepfake & Technology-Driven Deception,
4,5,Lin,Female,50,Asian,China,High School,Shopkeeper,"Lin believed online rumors about a food product causing cancer. She stopped buying it, impacting her family's diet and local businesses.",Believing online rumors about a food product causing cancer.,"Product, Brand, & Consumer Misinformation",
4,6,Kwame,Male,32,Black African,Ghana,Master's Degree,Engineer,"Kwame trusted a blog post criticizing GMOs. He became hesitant about agricultural advancements, potentially affecting his community's food security.",Trusting a blog post criticizing GMOs.,Health & Medical Misinformation,
4,7,Elena,Female,60,White European,Spain,Doctorate,Retired Professor,"Elena was misled by a historical documentary presenting biased interpretations of past events, skewing her understanding of history.",Misled by a historical documentary presenting biased interpretations of past events.,Cultural & Historical Misinformation,
4,8,Ravi,Male,45,Asian,India,Bachelor's Degree,Business Owner,Ravi was influenced by an advertisement promising unrealistic returns on an investment scheme. He lost a significant amount of money.,Influenced by an advertisement promising unrealistic returns on an investment scheme.,Financial Scams & Investment Deception,
4,9,Fatima,Female,28,Arab,Lebanon,University Degree,Journalist,"Fatima shared an unverified news report about a terrorist attack. It turned out to be false, causing unnecessary panic.",Sharing an unverified news report about a terrorist attack.,Political & Government Misinformation,
4,10,Jean-Pierre,Male,55,White European,France,Vocational Training,Construction Worker,"Jean-Pierre believed online conspiracy theories about the government. He became distrustful of authorities, affecting his civic participation.",Believing online conspiracy theories about the government.,Political & Government Misinformation,
5,1,Maria Rodriguez,Female,42,Hispanic/Latina,USA,High School Diploma,Retail Sales Associate,"Maria, a busy mother of two, primarily gets her news from social media. She saw a post claiming that a popular vaccine causes autism. Despite scientific consensus against this, the post's emotional appeal and share rate convinced her. She now hesitates to vaccinate her children, influenced by this misinformation. This case highlights the impact of emotional manipulation and echo chambers on social media.",Vaccine misinformation on social media (emotional manipulation and echo chambers).,Health & Medical Misinformation,
5,2,David Chen,Male,68,Asian,Canada,Bachelor's Degree,Retired Engineer,"David regularly watches a news channel known for its sensationalized reporting. He saw a segment about rising crime rates attributed solely to immigration. Despite statistical evidence showing a more complex picture, David now believes all immigrants are dangerous, demonstrating the power of biased media narratives to shape perceptions.",Sensationalized news attributing rising crime rates solely to immigration.,Social & Identity-Based Misinformation,
5,3,Aisha Diallo,Female,25,African,France,Master's Degree,Teacher,"Aisha encountered an online article arguing that climate change is a hoax perpetrated by scientists for financial gain. Although her scientific background contradicts this, the article's professional layout and confident tone made her question the established consensus, illustrating how misinformation can target even educated individuals.",Online article arguing that climate change is a hoax.,Climate Change & Environmental Misinformation,
5,4,Robert Jones,Male,55,White/Caucasian,UK,Vocational Training,Construction Worker,"Robert follows several online forums where conspiracy theories are prevalent. He encountered a post claiming that a global elite controls world events. Despite the lack of credible evidence, the post resonated with his distrust of authority, leading him to adopt this worldview. This shows how misinformation can exploit existing anxieties.",Conspiracy theories prevalent in online forums (global elite controlling world events).,Conspiracy Theories (Broad/Overarching),
5,5,Elena Garcia,Female,38,Hispanic/Latina,Spain,Bachelor's Degree,Graphic Designer,"Elena shared a social media post about a supposed cure for cancer. The post used scientific-sounding jargon and testimonials, making it seem legitimate. Later, she discovered it was a hoax. This experience highlights the persuasive power of misinformation disguised as scientific fact.",Social media post about a supposed cure for cancer using scientific-sounding jargon.,Health & Medical Misinformation,
5,6,Kenji Tanaka,Male,70,Asian,Japan,High School Diploma,Retired Businessman,"Kenji relies heavily on messaging apps for news. He received a forwarded message claiming a specific political candidate is corrupt. Without verifying the information, he shared it with his contacts, contributing to the spread of disinformation. This demonstrates the ease with which misinformation spreads through closed networks.",Forwarded message on messaging apps claiming a specific political candidate is corrupt.,Political & Government Misinformation,
5,7,Fatima Ali,Female,32,Arab,USA,Master's Degree,Social Worker,"Fatima encountered a manipulated video clip of a politician making inflammatory remarks. Believing the video to be genuine, she became outraged. This illustrates the dangers of deepfakes and manipulated media in shaping public opinion.",Manipulated video clip (deepfake) of a politician making inflammatory remarks.,Deepfake & Technology-Driven Deception,
5,8,Patrick O'Connell,Male,48,White/Caucasian,Ireland,Secondary School,Farmer,"Patrick listens to a radio show known for its nationalistic and xenophobic rhetoric. He heard a segment blaming immigrants for economic problems. This narrative resonated with his own economic anxieties, reinforcing his negative views on immigration.",Radio show with nationalistic and xenophobic rhetoric blaming immigrants for economic problems.,Social & Identity-Based Misinformation,
5,9,Ingrid Schmidt,Female,60,White/Caucasian,Germany,University Degree,Retired Teacher,"Ingrid was targeted by online advertisements promoting a miracle weight loss product. The ads used before-and-after photos and testimonials, making the product seem credible. Despite her education, she purchased the product, only to find it ineffective. This demonstrates how targeted advertising can exploit vulnerabilities.",Targeted online advertisements promoting a miracle weight loss product.,"Product, Brand, & Consumer Misinformation",
5,10,Javier Lopez,Male,29,Hispanic/Latino,Mexico,Bachelor's Degree,Journalist,"Javier works for a small news outlet that prioritizes speed over accuracy. He published an article based on unverified information from social media, which later turned out to be false. This case highlights the pressures faced by journalists in the fast-paced media landscape.",Publishing an article based on unverified information from social media.,Conspiracy Theories (Broad/Overarching),
